,id,Brown Dwarf,Constellation,Right Ascension,Declination,Apparent Magnitude,Distance,Spectral Type,Mass,Radius,Date Discovered,name,dist,mass,rad,lum
37,37,2MASS J03205965+1854233,,3h 20m 59.65s,18° 54′ 23.3″,,47.0,M8,9.043144,0.0010977762,,Sargas,0270,5.7,26,"1,800"
38,38,2MASS J03231002-4631237,,3h 23m 10.02s,−46° 31′ 23.7″,,192.0,L0γ,2.363549,0.00158461608,,Kaus Australis,0140,3.5,6.8,360
39,39,SDSS J032553.17+042540.1,,3h 25m 53.22s,4° 25′ 40.6″,,59.0,T5.5,4.624334999999999,0.0009068586,,Avior,0630,9.0,130,"60,000"
40,40,2MASS J03264225-2102057 [de],Eridanus,3h 26m 42.25s,−21° 2′ 5.7″,,80.0,L5γ,1.8497339999999998,0.0012409644000000001,2003.0,Alkaid,0104,6.1,3.4,"1,350"
41,41,2MASS J03284265+2302051 [de],Taurus,3h 28m 42.65s,23° 2′ 5.1″,,98.0,L8,5.549201999999999,0.00093549624,2000.0,Menkalinan,081,2.39,2.77,50
42,42,2MASS J03341218-4953322,,3h 34m 12.18s,−49° 53′ 32.2″,,27.0,M9,7.5016989999999995,0.00099277152,,Atria,0390,7,92,"5,500"
43,43,LP 944-20,Fornax,3h 39m 35.22s,−35° 25′ 44″,10.725,20.9,M9β,7.5016989999999995,0.00136506084,,Alhena,0109,2.8,3.3,120
44,44,2MASP J0345432+254023,,3h 45m 43.16s,25° 40′ 23.3″,,88.0,L0,7.604462,0.0010023174,1997.0,Peacock,0180,5.9,4.8,"2,200"
45,45,Teide 1,Taurus,3h 47m 18s,+24° 22′ 31″,,380.0,M8,5.651965,0.00360834264,1995.0,Alsephina[2],0080,2.4,2.9,90
46,46,2MASS J03510004-0052452,,3h 51m 0.04s,−0° 52′ 45.2″,,48.0,M8,10.481826,0.0012123267600000001,,Mirzam,0500,13.5,10,"27,000"
47,47,2MASS J03552337+1133437,Taurus,3h 55m 23.37s,11° 33′ 43.7″,14.05,29.8,L5γ,2.0552599999999996,0.00126005616,2006.0,Polaris,0430,5.4,39,"2,500"
48,48,DENIS-P J035726.9-441730 [de],Horologium,3h 57m 26.95s,−44° 17′ 30.5″,14.37,130.0,L0β,,,,Alphard,0180,3.0,50,780
49,49,2MASS J04151954−0935066,Eridanus,4h 15m 19.54s,−9° 35′ 6.6″,15.7,18.6,T8,3.08289,0.0009068586,2002.0,Mintaka,01200,24,16.5,"190,000"
50,50,SDSSp J042348.57-041403.5 [de],Eridanus,4h 23m 48.58s,−4° 14′ 3.5″,14.5,50.0,L7.5,,,2002.0,Scheat,0196,2.1,95,"1,500"
51,51,2MASS J04285096-2253227 [de],Eridanus,4h 28m 50.96s,−22° 53′ 22.7″,,85.0,L0.5,8.221039999999999,0.0010405009200000002,2003.0,Almaaz,0653,15,140,"43,000"
52,52,2MASS J04351612-1606574,,4h 35m 16.13s,−16° 6′ 57.5″,,34.0,M7,10.276299999999999,0.00120278088,,Rasalgethi,0360,2.8,280,"8,300"
